case,suite,task,episode,status,max_prob,top5_mass,entropy
libero_10_task01_ep01_success,libero_10,1,1,success,0.04147002846002579,0.1467978060245514,5.047516822814941
libero_10_task01_ep02_success,libero_10,1,2,success,0.041445471346378326,0.12225323170423508,5.092493534088135
libero_10_task03_ep06_fail,libero_10,3,6,fail,0.047411948442459106,0.11930187791585922,5.118467330932617
libero_10_task03_ep10_fail,libero_10,3,10,fail,0.046971119940280914,0.14335909485816956,5.060413360595703
libero_goal_task01_ep01_success,libero_goal,1,1,success,0.05590658634901047,0.13866668939590454,5.147585868835449
libero_goal_task01_ep02_success,libero_goal,1,2,success,0.05676143243908882,0.13827483355998993,5.131650924682617
libero_goal_task02_ep04_fail,libero_goal,2,4,fail,0.05891571566462517,0.14130230247974396,5.1218767166137695
libero_goal_task04_ep04_fail,libero_goal,4,4,fail,0.04903062433004379,0.1269558221101761,5.128757953643799
libero_object_task01_ep01_success,libero_object,1,1,success,0.035906970500946045,0.11922267824411392,5.106564998626709
libero_object_task01_ep02_success,libero_object,1,2,success,0.033440493047237396,0.1169559434056282,5.115294456481934
libero_object_task03_ep02_fail,libero_object,3,2,fail,0.03393338993191719,0.10241727530956268,5.184380531311035
libero_object_task06_ep07_fail,libero_object,6,7,fail,0.033196646720170975,0.09125491976737976,5.257336616516113
libero_spatial_task01_ep01_success,libero_spatial,1,1,success,0.02477382868528366,0.11446347832679749,5.211249828338623
libero_spatial_task01_ep02_success,libero_spatial,1,2,success,0.025195779278874397,0.11239168047904968,5.200759410858154
libero_spatial_task01_ep06_fail,libero_spatial,1,6,fail,0.027180233970284462,0.11466331779956818,5.1208648681640625
libero_spatial_task02_ep05_fail,libero_spatial,2,5,fail,0.030804572626948357,0.12447072565555573,5.097400188446045
